0.002204 0.000000 0.004231 0.000000 0.000000
0.004408 0.002204 0.004231 0.004231 0.002115
0.004408 0.006613 0.004231 0.008462 0.006346
0.004408 0.011021 0.004231 0.012692 0.010577
0.004408 0.015430 0.004231 0.016923 0.014808
0.004408 0.019838 0.004231 0.021154 0.019038
0.004408 0.024247 0.004231 0.025385 0.023269
0.004408 0.028655 0.004231 0.029615 0.027500
0.004408 0.033064 0.004231 0.033846 0.031731
0.004408 0.037472 0.004231 0.038077 0.035962
0.004408 0.041881 0.004231 0.042308 0.040192
0.004408 0.046289 0.004231 0.046538 0.044423
0.004408 0.050698 0.004231 0.050769 0.048654
0.004408 0.055106 0.004231 0.055000 0.052885
0.004408 0.059515 0.004231 0.059231 0.057115
0.004408 0.063923 0.004231 0.063462 0.061346
0.004408 0.068332 0.004231 0.067692 0.065577
0.004408 0.072740 0.004231 0.071923 0.069808
0.004408 0.077148 0.004231 0.076154 0.074038
0.004408 0.081557 0.004231 0.080385 0.078269
0.004408 0.085965 0.004231 0.084615 0.082500
0.004408 0.090374 0.004231 0.088846 0.086731
0.004408 0.094782 0.004231 0.093077 0.090962
0.004408 0.099191 0.004231 0.097308 0.095192
0.004408 0.103599 0.004231 0.101538 0.099423
0.004408 0.108008 0.004231 0.105769 0.103654
0.004408 0.112416 0.004231 0.110000 0.107885
0.004408 0.116825 0.004231 0.114231 0.112115
0.004408 0.121233 0.004231 0.118462 0.116346
0.004408 0.125642 0.004231 0.122692 0.120577
0.004408 0.130050 0.004231 0.126923 0.124808
0.004408 0.134459 0.004231 0.131154 0.129038
0.004408 0.138867 0.004231 0.135385 0.133269
0.004408 0.143276 0.004231 0.139615 0.137500
0.004408 0.147684 0.004231 0.143846 0.141731
0.004408 0.152093 0.004231 0.148077 0.145962
0.004408 0.156501 0.004231 0.152308 0.150192
0.004408 0.160910 0.004231 0.156538 0.154423
0.004408 0.165318 0.004231 0.160769 0.158654
0.004408 0.169727 0.004231 0.165000 0.162885
0.004408 0.174135 0.004231 0.169231 0.167115
0.004408 0.178544 0.004231 0.173462 0.171346
0.004408 0.182952 0.004231 0.177692 0.175577
0.004408 0.187361 0.004231 0.181923 0.179808
0.004408 0.191769 0.004231 0.186154 0.184038
0.004408 0.196178 0.004231 0.190385 0.188269
0.004408 0.200586 0.004231 0.194615 0.192500
0.004408 0.204995 0.004231 0.198846 0.196731
0.004408 0.209403 0.004231 0.203077 0.200962
0.004408 0.213812 0.004231 0.207308 0.205192
0.004408 0.218220 0.004231 0.211538 0.209423
0.004408 0.222629 0.004231 0.215769 0.213654
0.004422 0.227037 0.004244 0.220000 0.217885
0.004566 0.231459 0.004382 0.224244 0.222129
0.004715 0.236026 0.004525 0.228626 0.226511
0.004868 0.240740 0.004672 0.233151 0.231035
0.005026 0.245608 0.004824 0.237822 0.235707
0.005190 0.250634 0.004980 0.242646 0.240531
0.005358 0.255824 0.005142 0.247626 0.245511
0.005533 0.261182 0.005310 0.252769 0.250653
0.005712 0.266715 0.005482 0.258078 0.255963
0.005898 0.272427 0.005660 0.263560 0.261445
0.006090 0.278325 0.005844 0.269221 0.267105
0.006288 0.284415 0.006034 0.275065 0.272950
0.006492 0.290703 0.006231 0.281100 0.278984
0.006703 0.297196 0.006433 0.287330 0.285215
0.006921 0.303899 0.006642 0.293764 0.291648
0.007146 0.310820 0.006858 0.300406 0.298291
0.007379 0.317967 0.007081 0.307264 0.305149
0.007619 0.325346 0.007312 0.314346 0.312230
0.007866 0.332964 0.007549 0.321657 0.319542
0.008122 0.340831 0.007795 0.329206 0.327091
0.008386 0.348953 0.008048 0.337001 0.334886
